,time,y1,y2
69,6.927711,0.38315427,-0.0045273625
70,7.028113,0.35931528,-0.036291406
71,7.1285143,0.3819836,-0.063235424
72,7.228916,0.33401695,-0.11236199
73,7.3293176,0.33314365,-0.14426471
74,7.429719,0.32864183,-0.17045873
75,7.530121,0.315572,-0.19164696
76,7.6305223,0.30358428,-0.20951656
77,7.730924,0.26530167,-0.2219937
78,7.8313255,0.257824,-0.23734207
79,7.9317274,0.22713089,-0.24197996
80,8.032129,0.18947966,-0.25111887
81,8.13253,0.1774594,-0.26821443
82,8.232932,0.14305495,-0.27601284
83,8.333334,0.1182471,-0.2832125
84,8.433735,0.072270125,-0.25903854
85,8.534137,0.06502762,-0.26782322
86,8.634539,0.046367884,-0.24577273
87,8.734941,-0.005501438,-0.24989368
88,8.835341,-0.011944791,-0.21793239
89,8.935743,-0.027324334,-0.2286211
90,9.036145,-0.05508817,-0.20297481
91,9.136546,-0.06335333,-0.18475077
92,9.236948,-0.078151844,-0.17038287
93,9.33735,-0.11957343,-0.15830748
94,9.437752,-0.124370076,-0.13185436
95,9.538153,-0.14469245,-0.11581882
96,9.638555,-0.13472682,-0.10788655
97,9.738956,-0.15317324,-0.08239411
98,9.839357,-0.15164134,-0.051980775
99,9.939759,-0.14535286,-0.046166573
100,10.040161,-0.16601273,-0.011745004
101,10.140563,-0.17367871,0.0060440274
102,10.240964,-0.15488562,0.018061463
103,10.341366,-0.1633788,0.021616872
104,10.441768,-0.14549628,0.038621385
105,10.542169,-0.16799815,0.061880175
106,10.6425705,-0.13597322,0.06109305
107,10.742972,-0.14091784,0.0699895
108,10.843374,-0.12697381,0.08867872
109,10.943775,-0.11205358,0.087753884
110,11.044177,-0.110507324,0.08954989
111,11.144579,-0.10403493,0.09365444
112,11.24498,-0.09142327,0.117338695
113,11.345382,-0.08291031,0.10396693
114,11.445784,-0.07666168,0.114535965
115,11.5461855,-0.055120114,0.12613046
116,11.646586,-0.040234953,0.12394991
117,11.746988,-0.034216825,0.10059245
118,11.84739,-0.018962352,0.107458405
119,11.947792,-0.029123992,0.10482506
120,12.048193,-0.010623824,0.1033338
121,12.148595,0.0073915357,0.093059815
122,12.248997,0.026268829,0.10088418
123,12.349398,0.045611076,0.07992028
124,12.4498,0.036658224,0.07147841
125,12.550201,0.040552024,0.076995544
126,12.650603,0.04761074,0.05832105
127,12.751004,0.05312811,0.052261487
128,12.851406,0.05214345,0.043768976
129,12.951808,0.087945476,0.038044926
130,13.052209,0.08384379,0.009429086
131,13.152611,0.09796295,0.045683444
132,13.253013,0.08450142,0.023364224
133,13.353415,0.07533525,-0.0027957978
134,13.453815,0.08698369,-0.007727277
135,13.554217,0.06481305,-0.0103644235
136,13.654619,0.07161507,-0.021610089
137,13.75502,0.08365485,-0.024826286
138,13.855422,0.05565711,-0.034332354
139,13.955824,0.061044857,-0.048039556
140,14.056226,0.061260708,-0.048308395
141,14.156627,0.050693758,-0.036309794
142,14.257029,0.05341856,-0.04982092
143,14.35743,0.05495382,-0.037230074
144,14.457832,0.0444087,-0.0556969
145,14.558233,0.04535083,-0.0527175
146,14.658635,0.038894054,-0.05713338
147,14.759037,0.019022737,-0.051844563
148,14.859438,0.011831493,-0.046945136
149,14.95984,0.0258645,-0.05148294
150,15.060242,0.012982737,-0.05503627
151,15.160644,0.01372736,-0.05523359
152,15.2610445,0.0016534037,-0.02803506
153,15.361446,0.01562767,-0.025692161
154,15.461848,-0.020214532,-0.04466744
155,15.562249,-0.013699391,-0.03878718
156,15.662651,-0.016769238,-0.028115004
157,15.763053,-0.01334359,-0.021637004
158,15.863455,-0.021038929,-0.027118796
159,15.963856,-0.035194017,-0.019680161
160,16.064259,-0.034787893,-0.011945134
161,16.16466,-0.038612768,-0.024892002
162,16.26506,-0.002086766,-0.014593173
163,16.365463,-0.015332019,-0.001081205
164,16.465864,-0.058966227,-0.009020403
165,16.566265,-0.025682837,-0.011183722
166,16.666668,-0.018960338,0.0053430866
167,16.767069,-0.012603728,0.007060322
168,16.86747,-0.027817167,0.008824567
169,16.967873,-0.035640605,-0.0013567777
170,17.068274,-0.035723556,0.013162301
171,17.168674,-0.03124323,0.024395363
172,17.269077,-0.013703476,0.019978859
173,17.369478,-0.025338624,0.028112829
174,17.469881,-0.03331375,0.005225404
175,17.570282,-0.051063113,0.034340434
176,17.670683,-0.018252278,0.023367357
177,17.771086,-0.021580325,0.01708931
178,17.871487,-0.009859214,0.013048968
179,17.971888,-0.016062634,0.04362961
180,18.07229,-0.012157259,0.030204426
181,18.172691,0.0037134513,0.023833297
182,18.273092,-0.014696671,0.014753824
183,18.373495,-0.010849993,0.029927514
184,18.473896,0.009301083,0.024666604
185,18.574297,0.0015150458,0.008777551
186,18.6747,-0.008582441,0.023997366
187,18.7751,-0.0068701706,-0.00072181225
188,18.875504,0.0090945875,0.0025630202
189,18.975904,0.016940188,0.021333028
190,19.076305,0.0060979975,0.010585103
191,19.176708,0.025108583,0.009617215
192,19.27711,0.0058896025,0.010834642
193,19.37751,-0.004849745,-0.0041209524
194,19.477913,0.026877725,-0.002040077
195,19.578314,0.029903522,0.013919291
196,19.678715,0.023038192,0.008655465
197,19.779118,0.012472805,-0.010493363
198,19.879519,0.02928346,-0.0117092095
199,19.979921,0.01552211,-0.002353136
200,20.080322,0.023843627,0.023822313
201,20.180723,0.018755618,-0.008869245
202,20.281126,0.00882178,-0.022683935
203,20.381527,0.0131533835,0.019688774
204,20.481928,0.004687649,-0.009846885
205,20.58233,0.00795037,-0.01799567
206,20.682732,0.011556165,-0.0076707504
207,20.783133,0.020197628,0.012853855
208,20.883535,0.020810563,-0.009691603
209,20.983936,0.013499721,-0.026918197
210,21.084337,0.018320566,-0.0095821135
211,21.18474,0.0077026486,-0.03047703
212,21.285141,-0.0037044198,0.007763884
213,21.385544,0.009157622,0.0018294603
214,21.485945,-0.0014963262,-0.008172697
215,21.586346,0.006817106,-0.005363337
216,21.686749,0.004365038,-0.018396135
217,21.78715,-0.026915502,-0.0061716987
218,21.88755,-0.0034244144,-0.010899753
219,21.987953,-0.0031102896,-0.006075209
220,22.088354,-0.020894937,0.0032313196
221,22.188755,-0.015334891,-0.014637015
222,22.289158,-0.007831106,-0.013850376
223,22.389559,-0.018162435,-0.027977772
224,22.48996,-0.004698994,-0.00012955721
225,22.590363,-0.0029193878,0.0061192377
226,22.690763,-0.020362107,-0.025432639
227,22.791166,-0.008678371,0.0098111555
228,22.891567,-0.013898454,0.00019129529
229,22.991968,-0.0057332534,-0.011856413
230,23.092371,-0.007320038,-0.009457609
231,23.192772,-0.025869934,-0.010881768
232,23.293173,-0.029622002,-0.020278722
233,23.393576,0.0016107075,0.014819868
234,23.493977,0.006719247,0.00024188962
235,23.594378,0.008135835,0.015427065
236,23.69478,0.0028953422,-0.00044010952
237,23.795181,-0.0007073139,0.012470264
238,23.895584,-0.015442405,-0.0010365297
239,23.995985,0.00977665,0.009718898
240,24.096386,-0.0077077206,-0.0033731847
241,24.196789,-0.01633926,0.007661947
242,24.29719,0.0013693464,0.014574217
243,24.39759,-0.0048126094,-0.007478924
244,24.497993,-0.016078027,0.0011518211
245,24.598394,-0.013332176,0.022826454
246,24.698795,0.010891151,-0.0012456714
247,24.799198,0.002501479,0.010287395
248,24.8996,-0.009151117,-0.012476847
249,25.0,-0.0011231039,0.009415169
